,State_name,Species_id,Species_name,Year,Week,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open
0,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,0,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
1,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,1,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
2,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,2,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
3,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,3,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
4,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,4,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
5,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,5,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
6,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,6,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
7,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,7,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
8,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,8,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
9,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,9,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
10,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,10,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
11,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,11,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
12,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,12,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
13,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,13,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,-2.0
14,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,14,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0
15,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,15,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0
16,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,16,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0
17,Kerala,1090.0,Mango (all varieties)-Mangifera indica,2018,17,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,1.0,-2.0
