Observation_ID,Date_of_observation,User_id,User_Tree_id,Species_name,Lat,Long,State_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
630393.0,2022-12-25,15210.0,129024.0,African tulip- Spathodea campanulata,24.8016,93.92063,Manipur,0.0,2.0,2.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2022,47
630792.0,2022-12-29,15210.0,129128.0,African tulip- Spathodea campanulata,24.81245,93.94301,Manipur,1.0,2.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2022,47
245378.0,2018-12-01,19222.0,23556.0,Amla- Phyllanthus emblica,24.77439,93.93335,Manipur,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,2.0,-2.0,2018,43
591610.0,2022-05-07,25012.0,117223.0,Amla- Phyllanthus emblica,25.38729,94.18626,Manipur,2.0,2.0,0.0,2.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2022,16
630795.0,2022-12-29,26474.0,129131.0,Arjun tree- Terminalia arjuna,24.80906,93.94287,Manipur,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,1.0,-2.0,2022,47
630606.0,2022-12-27,15210.0,129074.0,Badminton-ball tree- Parkia biglandulosa,24.93799,93.83983,Manipur,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2022,47
630605.0,2022-12-27,15210.0,129073.0,Badminton-ball tree- Parkia biglandulosa,24.93472,93.83898,Manipur,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2022,47
630891.0,2022-12-30,15210.0,129170.0,Badminton-ball tree- Parkia biglandulosa,24.53252,93.83268,Manipur,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2022,47
630807.0,2022-12-29,15210.0,129140.0,Badminton-ball tree- Parkia biglandulosa,24.45284,93.80448,Manipur,0.0,2.0,2.0,2.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2022,47
630377.0,2022-12-25,15210.0,129015.0,Badminton-ball tree- Parkia biglandulosa,24.80362,93.91748,Manipur,0.0,2.0,2.0,2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2022,47
